,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1981-01-05,0.8270865133407044,-0.6797933066011653,0.5424996723656977,1.8181124760819036,1.7289708709815814,0.2637263222021913,1.7760339134282221,0.1225328401244744,0.06938245993305776,-0.1910574138460367,-0.22639320380399397,-1.670555744121989,1.3779988151477318,-1.135269897556165,-1.8468421495153307,-1.4008909490647623,-0.7720409028636608,3.1007490637116564,0.5237999336310046,1.0766257187284352,1.7914354154477563,1.9306047040343197,2.354448935526959
1981-01-08,0.8977093834202349,-0.8307537618731219,0.5391729866994882,1.8231993330952587,1.8568849565554957,-0.03477868302965636,1.5788770734947186,0.019074127226830724,0.02252411610683734,-0.08883325741946656,-0.18252111087965484,-1.8270826565442408,1.3661533834513346,-1.0404078109113377,-1.5001726867045742,-1.280213798881969,-0.7192505233681578,3.5310169014515727,0.43155285138636723,1.1493360631803022,2.0975742866695035,2.43626753117012,2.5907868095036615
1981-01-12,1.0227502274361064,-0.9813313444054379,0.6450404792224823,1.8036459478931735,2.012147571835039,-0.4427737872927619,1.2379366828170992,-0.26196093385899266,-0.18113411625147807,-0.20774193583037792,-0.19341365872521166,-1.8147048689472538,1.0555117400657377,-0.9915899966861147,-0.9095468827048645,-0.7958692851491661,-0.8665284634565052,3.4889767055853462,0.37795553462802073,0.8580331059674039,2.038360182509111,3.059829602351064,2.6122866876636683
1981-01-15,1.1380814624450788,-1.0732214660338104,0.7840580045463083,1.7961347551844722,2.0631979675294905,-0.7502139859141302,0.9769591320767059,-0.5554179667895375,-0.34946335067047085,-0.29615083507158274,-0.2135134576048154,-1.680434559522611,0.7692762505245305,-1.0014605561005587,-0.3899187555994498,-0.2533875858079856,-1.1204457478858794,3.0980119621186764,0.35316920029322785,0.4796335087372963,1.8032416151576913,3.197749534833745,2.4570460965324075
1981-01-19,1.3022842128523557,-1.2152285311703863,0.9198298977731423,1.7821661015321149,2.0590842068364816,-1.1947587482013229,0.773619008885984,-0.8538178121766449,-0.4690734896307745,-0.18900078918246424,-0.15351840755963198,-1.5485096524471247,0.6031234548236195,-0.9555681565496642,0.1343211092776911,0.2765615069883012,-1.5111293551084184,2.754571424385239,0.19364893082706489,0.24966224303753007,1.5804640741485867,3.1522171682425397,2.267190094152432
1981-01-22,1.4315615372599166,-1.3344529336370001,0.9476687732801025,1.7076649438985034,2.0680248632192604,-1.5445600233674641,0.8735778687260435,-0.891061643729132,-0.39285125446663965,0.026090701508033585,0.031021465216904666,-1.5024342775364725,0.5489882722449992,-0.8921961212312435,0.25638433124440885,0.4459772948964738,-1.9219896702482562,2.6279216242399075,-0.02816428061683903,0.3597051464910426,1.3245433477503643,3.1668560482444206,2.0494949774956126
1981-01-26,1.5205949439864752,-1.4921963629352186,0.921744515781187,1.5858785438953185,2.052593146399129,-1.7640752655108152,1.1478374863224496,-0.6993964570094775,-0.21793912007989055,0.39620157502431963,0.2759088434871839,-1.4804874660892697,0.6690664314468548,-0.7220281548283777,0.059176643058511745,0.4559325659822696,-2.3055835958971023,2.5416673462358412,-0.26973566346794453,0.5872174295542931,1.1159633016523884,3.0041945077560857,1.795495149987857
1981-01-29,1.5020283810828343,-1.5562221040297202,0.8854646100615625,1.5327014574273834,1.9671620164014,-1.6365794526445552,1.1687524820832627,-0.47776682080843635,-0.12203259736673329,0.5688309145241947,0.26274584363018577,-1.4853851116004488,0.9207916563102768,-0.5015794550122336,-0.3184308939438174,0.32968776139563344,-2.235908421634655,2.6429216929273966,-0.21973874530728046,0.6393828756374851,1.3496499169320217,2.633528702986918,1.7527613327233902
1981-02-02,1.4407708640541306,-1.4766050068889462,0.7823966835338881,1.460483702969934,1.774545484927334,-1.2373345205283293,0.8208427120954218,-0.13298452093301982,0.06483483927861923,0.42842764088426444,-0.003638308194152238,-1.55027522226174,1.2544755426979115,-0.13473412830993792,-1.1464221200896747,-0.10475918733773208,-1.7626469118297552,3.1174413260572025,0.2412077188528035,0.7017620247455018,2.1094146510325578,2.153699740024568,1.7708824596056802
1981-02-05,1.3759079485522427,-1.2725134948641617,0.6703543524219138,1.3733271285885595,1.6008612597450622,-0.8827885701577489,0.47973264688823436,0.1411694987934434,0.20721008603645452,0.13023902772314494,-0.13904639345683326,-1.568905792547224,1.309583519636445,0.05858937524785964,-1.670788683739281,-0.33992646131198434,-1.3594707133537274,3.1955888667791426,0.6722359854913521,0.794012265447975,2.5317212605335064,2.015753453616697,1.5699821933027764
