,0,1,2,3,4
2010-12-09,0.21708913,0.1650717,0.19908857,0.2119405,0.20681007
2010-12-13,0.18316193,0.170809,0.20586635,0.23180698,0.20835577
2010-12-16,0.1766401,0.17053606,0.20296954,0.23930994,0.2105444
2010-12-20,0.19272529,0.17055826,0.19196644,0.23705815,0.2076918
2010-12-23,0.20395985,0.17447835,0.19568124,0.21643293,0.20944767
2010-12-27,0.19485427,0.20294017,0.21476845,0.1655609,0.22187614
2010-12-30,0.19956267,0.1928719,0.2278561,0.1633635,0.21634588
2011-01-03,0.18262105,0.1811289,0.2155919,0.20890602,0.21175209
2011-01-06,0.17772216,0.17840359,0.20679146,0.2218803,0.21520251
2011-01-10,0.18736152,0.17853351,0.20471749,0.2159527,0.2134348
2011-01-13,0.20557289,0.19530825,0.1826625,0.18854895,0.2279074
2011-01-17,0.20007801,0.21562064,0.18576422,0.1788658,0.21967137
2011-01-20,0.2140427,0.18974043,0.20935032,0.17034347,0.21652308
2011-01-24,0.22314619,0.18574099,0.19957775,0.16541547,0.2261196
2011-01-27,0.21222547,0.19817959,0.17850742,0.1716562,0.23943137
2011-01-31,0.19197524,0.20849608,0.17668715,0.1825899,0.24025166
2011-02-03,0.17517292,0.21460295,0.16721094,0.2120977,0.2309155
2011-02-07,0.17889297,0.20452605,0.16303353,0.22785011,0.22569738
2011-02-10,0.20027122,0.19503048,0.16581811,0.21941401,0.2194662
2011-02-14,0.16636196,0.22712994,0.18658403,0.21191132,0.20801282
2011-02-17,0.16227628,0.22052082,0.19202158,0.21913841,0.20604287
2011-02-21,0.17071733,0.21750835,0.16352768,0.23323841,0.21500826
2011-02-24,0.18022947,0.19925633,0.16625035,0.22959489,0.22466895
2011-02-28,0.21519935,0.18197888,0.16845223,0.21071848,0.22365104
2011-03-03,0.24551171,0.18320394,0.16834453,0.17528018,0.2276596
2011-03-07,0.23913671,0.18942659,0.17137235,0.1693474,0.23071697
2011-03-10,0.24393564,0.18944108,0.1729691,0.16725484,0.22639936
2011-03-14,0.25021917,0.19601074,0.1692861,0.16653945,0.21794456
2011-03-17,0.218539,0.21189849,0.17261042,0.1784056,0.21854654
2011-09-26,0.2575967,0.18380761,0.17844428,0.16987607,0.21027535
2011-09-29,0.25962752,0.19011402,0.17599072,0.16952297,0.20474477
2011-10-03,0.2386856,0.2018582,0.18202828,0.16631737,0.21111058
2011-10-06,0.23791745,0.1882521,0.19555637,0.16979462,0.20847945
2011-10-10,0.2272734,0.19030884,0.17891605,0.19165954,0.21184212
2011-10-13,0.20444696,0.19856441,0.18376665,0.1932174,0.22000462
2011-10-17,0.22555417,0.19963771,0.17530541,0.16653565,0.23296711
2011-10-20,0.21384813,0.21219736,0.17619476,0.16389829,0.23386142
2011-10-24,0.19987836,0.21731935,0.18546404,0.1696207,0.22771752
2011-10-27,0.18626793,0.22765565,0.19768608,0.16984889,0.21854146
2011-10-31,0.17067297,0.25637785,0.17757702,0.17977738,0.21559478
2011-11-03,0.17590113,0.24918123,0.17906143,0.1832107,0.2126455
2011-11-07,0.17726764,0.24766384,0.177154,0.19017601,0.20773844
2011-11-10,0.17336066,0.24426542,0.17969789,0.19802257,0.20465341
2011-11-14,0.17844799,0.23629059,0.169238,0.20864056,0.20738287
2011-11-17,0.20594062,0.23523131,0.1662459,0.17703731,0.21554492
2011-11-21,0.24410935,0.20061569,0.17057236,0.16368204,0.22102053
2011-11-24,0.21825252,0.21835081,0.17139424,0.16410303,0.22789943
2011-11-28,0.18550389,0.2598497,0.1635825,0.1740229,0.21704102
2011-12-01,0.18664293,0.260302,0.16125795,0.17694086,0.21485622
2011-12-05,0.19017147,0.26149562,0.16285515,0.17741261,0.20806512
2011-12-08,0.19400921,0.2536526,0.16819899,0.17128818,0.212851
2011-12-12,0.22693746,0.21864088,0.17023104,0.16792066,0.21626993
2011-12-15,0.21849714,0.21550457,0.16986905,0.17294733,0.22318195
2011-12-19,0.22206889,0.21118058,0.17460874,0.17031744,0.22182432
2011-12-22,0.23246172,0.20816451,0.17062363,0.16648072,0.22226948
2011-12-26,0.25159872,0.20004095,0.1665579,0.16102819,0.22077422
2011-12-29,0.26671746,0.18908142,0.16630554,0.15888436,0.21901119
2012-01-02,0.2517724,0.1953588,0.17021464,0.16250764,0.22014652
2012-01-05,0.22992744,0.2179608,0.17089944,0.16370267,0.21750963
2012-01-09,0.17870806,0.2285359,0.17139933,0.21156304,0.20979364
2012-01-12,0.1815993,0.20653002,0.17490208,0.22314647,0.21382216
2012-01-16,0.21548368,0.1873594,0.17456351,0.20083809,0.2217553
2012-01-19,0.23249744,0.19024779,0.17951572,0.17215453,0.22558446
2012-01-23,0.215837,0.22024672,0.18122968,0.15978679,0.2228998
2012-01-26,0.21384941,0.21478231,0.19602822,0.15927735,0.21606266
2012-01-30,0.23903881,0.18006508,0.20653191,0.16200921,0.21235502
2012-02-02,0.24631482,0.17958327,0.19704759,0.16213563,0.21491872
2012-02-06,0.23679407,0.18649726,0.19246009,0.16260283,0.22164573
2012-02-09,0.21978404,0.19351524,0.19654651,0.16453342,0.22562076
2012-02-13,0.2137019,0.20039187,0.20299308,0.16279353,0.2201196
2012-02-16,0.20354676,0.21070784,0.18498053,0.16814995,0.23261493
2012-02-20,0.18129732,0.24196617,0.16693503,0.17197172,0.23782973
2012-02-23,0.17539527,0.25135663,0.16199103,0.18727583,0.22398126
2012-02-27,0.17511913,0.25795496,0.15908302,0.19280443,0.21503848
2012-03-01,0.17890912,0.25943664,0.15912725,0.18382557,0.21870145
2012-03-05,0.18895791,0.24325712,0.16397984,0.19247934,0.21132582
2012-03-08,0.25052783,0.20521863,0.1619165,0.17550857,0.20682846
2012-03-12,0.25522363,0.20239799,0.16529025,0.16132495,0.21576317
2012-03-15,0.2451393,0.20497744,0.16706462,0.16419049,0.21862811
2012-09-24,0.22928156,0.18916945,0.19378181,0.169865,0.21790215
2012-09-27,0.21456565,0.19688417,0.19741236,0.17471252,0.2164253
2012-10-01,0.19159587,0.20511995,0.19734988,0.18814993,0.21778439
2012-10-04,0.19587895,0.19422758,0.18704474,0.19742118,0.22542757
2012-10-08,0.22171059,0.1905808,0.1848038,0.17642668,0.22647816
2012-10-11,0.22510003,0.19666731,0.19526076,0.16731705,0.21565479
2012-10-15,0.19839332,0.19200262,0.18809824,0.21009454,0.21141128
2012-10-18,0.18333499,0.18626916,0.19278523,0.22435792,0.21325266
2012-10-22,0.19550654,0.1709955,0.2237447,0.19875254,0.21100065
2012-10-25,0.1987022,0.17322199,0.21420291,0.1957421,0.21813081
2012-10-29,0.21196282,0.17558818,0.20812772,0.18858115,0.21574017
2012-11-01,0.21872683,0.17463942,0.21562068,0.18270066,0.20831238
2012-11-05,0.19612284,0.20400217,0.18241028,0.21173981,0.20572484
2012-11-08,0.1964868,0.2220278,0.17424165,0.20193616,0.20530759
2012-11-12,0.1916329,0.21317399,0.17027532,0.22007678,0.20484102
2012-11-15,0.21700598,0.19036874,0.17219472,0.21750087,0.20292969
2012-11-19,0.21533552,0.1837683,0.17278859,0.22102264,0.20708498
2012-11-22,0.21046105,0.18441786,0.17550786,0.22253221,0.20708098
2012-11-26,0.20866364,0.17935824,0.18449418,0.22293234,0.20455156
2012-11-29,0.21095498,0.18487391,0.17148797,0.22466822,0.20801494
2012-12-03,0.19674887,0.21328868,0.17582613,0.20092033,0.213216
2012-12-06,0.18836382,0.23465583,0.17325439,0.19496803,0.20875795
2012-12-10,0.18237108,0.2496875,0.18294105,0.18318819,0.20181216
2012-12-13,0.17691475,0.24808975,0.20433901,0.1776422,0.19301426
2012-12-17,0.18246056,0.18930249,0.20971493,0.22065562,0.19786644
2012-12-20,0.19198078,0.18629667,0.21802641,0.19805294,0.20564316
2012-12-24,0.21303615,0.19143496,0.21381122,0.16408542,0.21763222
2012-12-27,0.23317385,0.18984486,0.20009767,0.16121425,0.21566941
2012-12-31,0.24519064,0.18014066,0.21713178,0.15553683,0.20200011
2013-01-03,0.22163242,0.20601782,0.19929175,0.16321197,0.20984603
2013-01-07,0.17594457,0.25953203,0.18259503,0.17910255,0.20282583
2013-01-10,0.17482093,0.25524575,0.18625988,0.17612772,0.20754573
2013-01-14,0.18512298,0.2230766,0.19375876,0.18710776,0.21093395
2013-01-17,0.1911759,0.2015778,0.21556966,0.17648567,0.21519098
2013-01-21,0.18175074,0.19732304,0.2304022,0.19017462,0.2003494
2013-01-24,0.1751941,0.20886095,0.22600345,0.19316936,0.19677214
2013-01-28,0.19380364,0.21319461,0.19727977,0.18071221,0.2150098
2013-01-31,0.2318835,0.20553465,0.18803532,0.16629994,0.20824654
2013-02-04,0.22221626,0.21086419,0.1917327,0.16238482,0.21280202
2013-02-07,0.19553353,0.23721346,0.1855943,0.16934365,0.21231502
2013-02-11,0.17795224,0.23662409,0.20267615,0.17165308,0.21109442
2013-02-14,0.17147686,0.23871621,0.20212948,0.17920591,0.20847158
2013-02-18,0.18364759,0.22819915,0.20845978,0.17211547,0.20757803
2013-02-21,0.19788612,0.20289743,0.23020582,0.16266534,0.20634529
2013-02-25,0.20884456,0.18292128,0.2527705,0.15614863,0.19931501
2013-02-28,0.19554874,0.18367362,0.25902832,0.15836519,0.20338413
2013-03-04,0.18329374,0.19530168,0.2452806,0.16489913,0.21122484
2013-03-07,0.18250488,0.18964234,0.19908856,0.2220551,0.20670907
2013-03-11,0.17783032,0.18071811,0.2194801,0.22155455,0.20041692
2013-03-14,0.16612062,0.1789596,0.25051653,0.20656987,0.19783342
2013-03-18,0.17057148,0.19023718,0.2286345,0.20765637,0.2029005
2013-09-26,0.18183656,0.21205664,0.19433495,0.2123334,0.1994385
2013-09-30,0.18340784,0.19867225,0.20381078,0.20870681,0.20540227
2013-10-03,0.17075269,0.2377437,0.20260824,0.19102173,0.19787364
2013-10-07,0.17463304,0.24972421,0.20437627,0.16707632,0.20419015
2013-10-10,0.17948616,0.20260915,0.23700301,0.17110343,0.20979825
2013-10-14,0.1818303,0.19635047,0.23450229,0.17357069,0.21374622
2013-10-17,0.19108999,0.19544981,0.23553103,0.16553284,0.2123963
2013-10-21,0.1987914,0.20789517,0.19914183,0.17344195,0.22072968
2013-10-24,0.19225621,0.23276432,0.18375786,0.17560829,0.21561337
2013-10-28,0.18292092,0.25963682,0.17300776,0.171705,0.21272953
2013-10-31,0.18241777,0.25479722,0.17273715,0.17858721,0.21146066
2013-11-04,0.18297651,0.22763327,0.17129253,0.20710933,0.21098842
2013-11-07,0.20231217,0.18457827,0.16583982,0.23663852,0.21063122
2013-11-11,0.1911594,0.1914698,0.16529441,0.23187058,0.22020586
2013-11-14,0.18660815,0.20628816,0.16612871,0.22182937,0.21914558
2013-11-18,0.19027911,0.18709351,0.22587536,0.1731364,0.22361565
2013-11-21,0.2035487,0.18312496,0.2232457,0.16801473,0.22206588
2013-11-25,0.1813618,0.19249806,0.17412323,0.23503211,0.21698482
2013-11-28,0.17770638,0.19887953,0.16633345,0.24334957,0.21373104
2013-12-02,0.18123017,0.1922243,0.16376296,0.2439084,0.21887414
2013-12-05,0.18507023,0.19361185,0.16519848,0.23942226,0.2166972
2013-12-09,0.18799324,0.20709565,0.16731486,0.22541529,0.212181
2013-12-12,0.18280827,0.23578718,0.16032797,0.2187712,0.20230539
2013-12-16,0.17895715,0.24970578,0.15760605,0.2107461,0.20298496
2013-12-19,0.18233372,0.25159368,0.16430445,0.19692416,0.20484398
2013-12-23,0.188339,0.21982956,0.1766951,0.20189035,0.21324602
2013-12-26,0.1902984,0.21784297,0.1819135,0.18720181,0.22274335
2013-12-30,0.1880981,0.20696747,0.19794741,0.1845269,0.22246009
2014-01-02,0.19089603,0.21603906,0.19187175,0.1755245,0.22566871
2014-01-06,0.19485699,0.24037978,0.17819193,0.16666667,0.21990459
2014-01-09,0.18740122,0.27401614,0.1690084,0.16549362,0.2040806
2014-01-13,0.21052495,0.2084533,0.18592563,0.17768778,0.21740834
2014-01-16,0.22354837,0.19417849,0.1886612,0.17447054,0.21914145
2014-01-20,0.2181851,0.1940822,0.19572331,0.17455257,0.21745685
2014-01-23,0.20706593,0.1983613,0.2009519,0.17359777,0.22002307
2014-01-27,0.17652248,0.20710655,0.18374902,0.22358578,0.20903614
2014-01-30,0.17347212,0.21065226,0.17989066,0.2271933,0.20879169
2014-02-03,0.17984667,0.19470942,0.18702874,0.22741969,0.2109955
2014-02-06,0.2061559,0.18954441,0.18430479,0.21094565,0.20904928
2014-02-10,0.2227279,0.19199616,0.17566739,0.19696009,0.21264851
2014-02-13,0.22030173,0.20781086,0.17972855,0.17531298,0.21684587
2014-02-17,0.206275,0.21972577,0.18000305,0.17169909,0.22229709
2014-02-20,0.2204732,0.19975173,0.1819548,0.17347105,0.22434926
2014-02-24,0.23913795,0.19452636,0.18673763,0.16786313,0.2117349
2014-02-27,0.21900544,0.19382772,0.19181238,0.1794624,0.2158921
2014-03-03,0.24678534,0.18943597,0.18342888,0.16528086,0.21506897
2014-03-06,0.2579219,0.18611407,0.17990488,0.16214515,0.213914
2014-03-10,0.24051256,0.19284278,0.185492,0.16531543,0.21583718
2014-03-13,0.22888945,0.20480111,0.18808818,0.1672241,0.21099715
2014-03-17,0.19614232,0.21269889,0.18648985,0.1895094,0.2151595
2014-09-25,0.20710613,0.20657828,0.18084706,0.19188447,0.21358408
