,0,1,2,3,4
2010-12-09,0.19529541,0.20080286,0.19334562,0.20329414,0.20726192
2010-12-13,0.19617282,0.20009038,0.1926596,0.20305687,0.20802033
2010-12-16,0.19195974,0.20529057,0.19274533,0.2028009,0.20720349
2010-12-20,0.18917727,0.21177106,0.19435303,0.20449245,0.20020622
2010-12-23,0.19067644,0.20718572,0.19449906,0.20152147,0.20611729
2010-12-27,0.18786821,0.20606323,0.1957813,0.202881,0.20740631
2010-12-30,0.18769172,0.2049812,0.19559737,0.20024139,0.21148834
2011-01-03,0.18929179,0.20521617,0.19475654,0.20005353,0.21068197
2011-01-06,0.18919103,0.20681447,0.19795454,0.19951816,0.20652184
2011-01-10,0.18912041,0.2039204,0.19575462,0.19920738,0.21199714
2011-01-13,0.18795931,0.20665704,0.1950589,0.19749488,0.21282987
2011-01-17,0.18967748,0.2051026,0.19592945,0.19927451,0.21001601
2011-01-20,0.1866443,0.20382735,0.19461809,0.20193475,0.21297552
2011-01-24,0.18583313,0.20878261,0.19458395,0.20307969,0.20772056
2011-01-27,0.18787973,0.20674475,0.19672695,0.19864033,0.21000822
2011-01-31,0.1881119,0.20711227,0.19486433,0.19900984,0.2109016
2011-02-03,0.18376046,0.20746037,0.19189018,0.20128311,0.21560591
2011-02-07,0.18992466,0.20269233,0.19381365,0.19981575,0.21375361
2011-02-10,0.19149557,0.19984691,0.19308741,0.20079139,0.21477872
2011-02-14,0.18801305,0.20106316,0.19883518,0.20357177,0.20851685
2011-02-17,0.19713242,0.19913606,0.19897464,0.19638824,0.20836867
2011-02-21,0.1961033,0.19352904,0.19466631,0.19536299,0.22033833
2011-02-24,0.19141223,0.19618046,0.19950835,0.19658436,0.21631461
2011-09-05,0.20746195,0.19720517,0.19439566,0.19490181,0.20603544
2011-09-08,0.20425357,0.19457304,0.20097996,0.1952566,0.20493685
2011-09-12,0.20339312,0.19936796,0.19417611,0.19294043,0.21012242
2011-09-15,0.20346925,0.20404229,0.19254827,0.19556235,0.20437782
2011-09-19,0.20611434,0.20189175,0.19364847,0.19502044,0.20332496
2011-09-22,0.20623791,0.1973316,0.19332285,0.19272938,0.21037823
2011-09-26,0.20339517,0.19484922,0.19475634,0.18651687,0.22048241
2011-09-29,0.20543748,0.19603862,0.19336283,0.1865911,0.21856992
2011-10-03,0.20734726,0.20245594,0.19283578,0.18622023,0.21114078
2011-10-06,0.20653169,0.20399708,0.19293274,0.189942,0.20659652
2011-10-10,0.20005502,0.20122766,0.18928684,0.19219734,0.21723309
2011-10-13,0.20687422,0.19896604,0.19037214,0.18840477,0.21538287
2011-10-17,0.20137526,0.19619851,0.18750821,0.18915582,0.22576214
2011-10-20,0.20152119,0.19961327,0.18887495,0.1896887,0.22030194
2011-10-24,0.2006595,0.19884846,0.19089001,0.19262578,0.21697631
2011-10-27,0.20285738,0.19708742,0.19423912,0.19408533,0.21173075
2011-10-31,0.20249265,0.19486229,0.19314483,0.19241692,0.21708329
2011-11-03,0.20596522,0.19358838,0.19523698,0.1859309,0.21927854
2011-11-07,0.19844599,0.1977355,0.19652748,0.18986195,0.21742901
2011-11-10,0.20080699,0.19780195,0.19886565,0.18991573,0.21260971
2011-11-14,0.19632652,0.19876696,0.19536266,0.1918642,0.21767971
2011-11-17,0.19978033,0.1987587,0.19850448,0.1904487,0.21250774
2011-11-21,0.2034384,0.1994379,0.19464414,0.19289537,0.20958416
2011-11-24,0.2015966,0.19651577,0.20080292,0.18880282,0.21228193
2011-11-28,0.20624454,0.19657564,0.20727466,0.18522224,0.20468296
2011-12-01,0.20333225,0.19499843,0.20647076,0.19045345,0.20474516
2011-12-05,0.20428926,0.19058429,0.2067517,0.19057296,0.20780176
2011-12-08,0.2039537,0.19482502,0.20480783,0.1901603,0.20625319
2011-12-12,0.20181435,0.19443855,0.20415035,0.19129428,0.20830242
2011-12-15,0.19746692,0.19915283,0.20105273,0.18839172,0.21393584
2011-12-19,0.19865742,0.19966948,0.20264423,0.18937287,0.20965597
2011-12-22,0.19516687,0.1977265,0.20326045,0.18944752,0.21439864
2011-12-26,0.19434671,0.20111577,0.2015896,0.19425756,0.2086904
2011-12-29,0.1951252,0.19807158,0.2052784,0.19244558,0.20907918
2012-01-02,0.19275905,0.19683668,0.20904581,0.18923634,0.21212216
2012-01-05,0.1920803,0.19428101,0.20841266,0.18813606,0.21708994
2012-01-09,0.19258204,0.19286987,0.2068789,0.18843731,0.21923186
2012-01-12,0.19875412,0.19445916,0.20581791,0.19000229,0.21096654
2012-01-16,0.19645092,0.19723658,0.2120703,0.18340634,0.21083589
2012-01-19,0.1954672,0.19538015,0.20876016,0.18490787,0.21548459
2012-01-23,0.19780917,0.19516332,0.20649429,0.18325369,0.21727952
2012-01-26,0.1967927,0.19512665,0.2089927,0.18539847,0.21368948
2012-01-30,0.19667386,0.19431977,0.21041441,0.18670045,0.21189156
2012-02-02,0.19303817,0.19475819,0.21095486,0.18525076,0.21599802
2012-02-06,0.19892019,0.19890006,0.20334016,0.18793511,0.21090451
2012-02-09,0.20218374,0.19922662,0.20227799,0.18697992,0.20933172
2012-02-13,0.20001605,0.19869487,0.20332865,0.18862812,0.20933233
2012-02-16,0.20135072,0.20002072,0.19792348,0.1898868,0.21081834
2012-02-20,0.20325617,0.19778366,0.19815783,0.18997777,0.21082458
2012-02-23,0.20350741,0.19836445,0.19630773,0.19440311,0.20741732
2012-09-03,0.21545386,0.1913155,0.1991776,0.19505419,0.19899881
2012-09-06,0.21426983,0.19140065,0.19626784,0.19966927,0.19839244
2012-09-10,0.22139825,0.19178522,0.1896764,0.19975992,0.19738024
2012-09-13,0.22133243,0.19031553,0.19816548,0.1965612,0.19362533
2012-09-17,0.20914371,0.19387986,0.19433536,0.19923852,0.20340255
2012-09-20,0.21687779,0.19095767,0.19331308,0.195619,0.20323247
2012-09-24,0.20719533,0.19600238,0.19952424,0.19675215,0.20052588
2012-09-27,0.20815204,0.19108143,0.19443652,0.20175916,0.20457084
2012-10-01,0.21558431,0.19101322,0.19053265,0.18998909,0.21288075
2012-10-04,0.2153434,0.20161639,0.18977515,0.19462775,0.19863732
2012-10-08,0.20414756,0.20130344,0.1925775,0.19297743,0.20899405
2012-10-11,0.20160958,0.19850987,0.1924378,0.19732857,0.21011412
2012-10-15,0.19976622,0.20088828,0.19899668,0.19191843,0.2084304
2012-10-18,0.20158519,0.20252326,0.19868872,0.19162142,0.20558141
2012-10-22,0.2031186,0.20317031,0.1959946,0.1971311,0.20058535
2012-10-25,0.20771031,0.20138094,0.1930732,0.19601613,0.2018194
2012-10-29,0.21139582,0.199881,0.1917336,0.19353706,0.20345251
2012-11-01,0.21047628,0.1984106,0.19560748,0.19327828,0.20222734
2012-11-05,0.21545593,0.19518642,0.19734015,0.18857273,0.20344481
2012-11-08,0.22008982,0.192405,0.19921014,0.18928388,0.19901119
2012-11-12,0.20851314,0.19452178,0.20039114,0.1927996,0.20377436
2012-11-15,0.20478262,0.19757965,0.19914418,0.19262421,0.20586933
2012-11-19,0.2035988,0.20023218,0.19753593,0.19065478,0.2079783
2012-11-22,0.2121031,0.19844782,0.19691056,0.18925926,0.20327927
2012-11-26,0.21304742,0.19654638,0.19543742,0.19135083,0.20361798
2012-11-29,0.20969144,0.2005185,0.1947272,0.19224107,0.20282178
2012-12-03,0.20760536,0.20177071,0.19276907,0.19647224,0.20138259
2012-12-06,0.2034284,0.19882008,0.19475581,0.20196642,0.20102923
2012-12-10,0.19655964,0.20050633,0.1948813,0.20169932,0.20635344
2012-12-13,0.1966093,0.20063035,0.19536558,0.19833285,0.20906188
2012-12-17,0.19877288,0.20187803,0.1965197,0.20147386,0.20135555
2012-12-20,0.1986159,0.19987515,0.20003308,0.20166372,0.19981214
2012-12-24,0.19720088,0.20049842,0.20227474,0.19984835,0.2001776
2012-12-27,0.1939962,0.19983965,0.20161015,0.2070378,0.19751617
2012-12-31,0.19508016,0.20137231,0.2048989,0.20105986,0.19758879
2013-01-03,0.19892089,0.20377587,0.2032549,0.19388634,0.20016201
2013-01-07,0.19645214,0.20301004,0.20059924,0.19660522,0.20333336
2013-01-10,0.19724572,0.20010114,0.20360193,0.19725908,0.20179215
2013-01-14,0.19706336,0.19939288,0.19672176,0.20129426,0.20552775
2013-01-17,0.19605522,0.19931012,0.19452895,0.2021086,0.20799708
2013-01-21,0.19824164,0.20382023,0.19036083,0.20408747,0.20348983
2013-01-24,0.19745535,0.2038898,0.19604917,0.19811568,0.20449007
2013-01-28,0.1992311,0.20084934,0.19603008,0.19895141,0.20493804
2013-01-31,0.1999615,0.20521054,0.19560169,0.19616218,0.20306407
2013-02-04,0.19848366,0.20254141,0.20028971,0.19202757,0.20665768
2013-02-07,0.20177095,0.2004235,0.20026773,0.18806781,0.20947003
2013-02-11,0.19855815,0.20563696,0.2020738,0.18749034,0.20624074
