,0,1,2,3,4
2010-11-29,0.17286551,0.19022335,0.18607575,0.22184068,0.22899474
2010-12-02,0.16594006,0.1721374,0.27160904,0.175812,0.21450152
2010-12-06,0.1647705,0.1806106,0.26928866,0.15533693,0.22999333
2010-12-09,0.16838123,0.174811,0.30834797,0.15996493,0.18849485
2010-12-13,0.17160292,0.21864869,0.21657023,0.18105924,0.2121189
2010-12-16,0.15928103,0.22166021,0.22487743,0.16664965,0.22753173
2010-12-20,0.17164434,0.20092277,0.22057937,0.16230604,0.24454741
2010-12-23,0.16760303,0.21130282,0.19775511,0.16126975,0.2620693
2010-12-27,0.15229842,0.22126941,0.22752163,0.17173995,0.22717056
2010-12-30,0.1492392,0.2219223,0.19843426,0.17226413,0.25814015
2011-01-03,0.13492888,0.23210725,0.21316352,0.1856279,0.23417245
2011-01-06,0.14472863,0.23495448,0.23131411,0.15722226,0.23178056
2011-01-10,0.1636792,0.22384393,0.20521976,0.18176225,0.22549483
2011-01-13,0.15686496,0.23006997,0.18394652,0.16882616,0.26029238
2011-01-17,0.14326675,0.21254827,0.17768231,0.1975731,0.2689296
2011-01-20,0.16246264,0.21360222,0.18491523,0.20241317,0.23660679
2011-01-24,0.15962343,0.24210525,0.18205184,0.19502765,0.22119185
2011-01-27,0.15173014,0.23742083,0.20271651,0.19552664,0.2126058
2011-01-31,0.15411012,0.24076761,0.17039941,0.17370453,0.2610183
2011-02-03,0.13523585,0.24957283,0.1616595,0.18790519,0.26562667
2011-02-07,0.13624252,0.26506683,0.16047353,0.20134689,0.2368702
2011-02-10,0.15523374,0.26100987,0.15499716,0.17886691,0.24989234
2011-08-22,0.18032463,0.20524946,0.22531137,0.19995369,0.18916088
2011-08-25,0.17724524,0.21848068,0.24664907,0.18598154,0.17164348
2011-08-29,0.19661392,0.18570957,0.20619701,0.16589272,0.24558684
2011-09-01,0.19657739,0.18181339,0.25919926,0.15623966,0.20617028
2011-09-05,0.19620115,0.17534062,0.24839675,0.19112797,0.18893346
