,0,1,2,3,4
2010-11-29,0.07973276,0.14813308,0.35777193,0.05959393,0.3547683
2010-12-02,0.1134284,0.17443928,0.4160342,0.05706388,0.23903422
2010-12-06,0.1429949,0.16755931,0.43683025,0.046620872,0.20599464
2010-12-09,0.12011238,0.14381176,0.42530018,0.04700786,0.26376787
2010-12-13,0.11153192,0.2330516,0.22336003,0.036834903,0.39522153
2010-12-16,0.11767113,0.24662176,0.17956388,0.060449593,0.39569366
2010-12-20,0.1964343,0.2023659,0.2567217,0.071731806,0.27274626
2010-12-23,0.23143001,0.12667483,0.25928998,0.046346605,0.33625862
2010-12-27,0.116202295,0.23641789,0.42374325,0.03444223,0.1891943
2010-12-30,0.13830341,0.3053615,0.31921265,0.04234259,0.19477986
2011-01-03,0.10151744,0.3662459,0.2906229,0.04546063,0.19615316
2011-01-06,0.15807457,0.3376109,0.26680055,0.052611984,0.18490197
2011-01-10,0.1473017,0.34029457,0.22998233,0.047948945,0.23447242
2011-01-13,0.10318909,0.4077917,0.15298225,0.041433122,0.29460382
2011-01-17,0.09500228,0.38385713,0.22335033,0.044574156,0.2532161
2011-01-20,0.093031466,0.30963704,0.21450925,0.05059125,0.33223101
2011-01-24,0.10599624,0.36068773,0.21035938,0.04642096,0.27653566
2011-01-27,0.10096252,0.47892407,0.12796362,0.04345422,0.24869555
2011-01-31,0.085219644,0.5734631,0.10269502,0.036065634,0.20255665
2011-02-03,0.07584167,0.49419382,0.13364853,0.038497545,0.2578184
2011-02-07,0.10577129,0.5198372,0.13778381,0.043089297,0.19351843
2011-02-10,0.0928061,0.474837,0.14641175,0.045053836,0.24089135
2011-08-22,0.224912,0.17139347,0.32176247,0.12417938,0.15775266
2011-08-25,0.19821577,0.1607515,0.23437846,0.118921,0.2877333
2011-08-29,0.26078305,0.15182935,0.18591633,0.09525417,0.30621713
2011-09-01,0.2547631,0.114685826,0.2180966,0.07957419,0.33288032
2011-09-05,0.23941071,0.11459404,0.26423895,0.083766,0.29799026
2011-09-08,0.16374274,0.12058445,0.31338617,0.071242735,0.33104396
2011-09-12,0.16645928,0.14999948,0.3669898,0.06852892,0.24802254
2011-09-15,0.19330631,0.14614064,0.33568445,0.05740392,0.2674647
2011-09-19,0.22930115,0.16289993,0.19167218,0.08212431,0.33400247
2011-09-22,0.15333469,0.21744414,0.17829113,0.058056153,0.39287388
2011-09-26,0.15104806,0.27704668,0.27220222,0.078758605,0.22094446
2011-09-29,0.17497353,0.2659607,0.23260249,0.07353044,0.25293282
2011-10-03,0.1725439,0.23074521,0.264374,0.080701225,0.2516357
2011-10-06,0.17156203,0.2364694,0.20521882,0.0591951,0.32755467
2011-10-10,0.15508407,0.2137857,0.23018292,0.061268225,0.3396791
2011-10-13,0.117081076,0.21182369,0.11947884,0.050629828,0.5009866
2011-10-17,0.13069375,0.23037615,0.11999023,0.061593045,0.45734683
2011-10-20,0.14205953,0.24471492,0.115283474,0.06308724,0.43485487
2011-10-24,0.10680747,0.24026293,0.088074476,0.07620262,0.48865247
2011-10-27,0.14502111,0.27075163,0.09829539,0.08509252,0.4008393
2011-10-31,0.13208176,0.3562291,0.1345581,0.13918023,0.23795086
2011-11-03,0.18200329,0.36663786,0.15464099,0.10831664,0.18840122
2011-11-07,0.15627132,0.33900785,0.11781497,0.15470923,0.23219663
2011-11-10,0.16928957,0.28713125,0.16946803,0.12035467,0.25375646
2011-11-14,0.15184733,0.29650682,0.15592265,0.087615035,0.30810815
2011-11-17,0.20338543,0.32739332,0.16764435,0.08854867,0.21302824
2011-11-21,0.16703643,0.34378377,0.16619891,0.09257503,0.23040587
2011-11-24,0.16500823,0.3524292,0.15432641,0.076368794,0.25186735
2011-11-28,0.1645096,0.3367143,0.12541878,0.060766187,0.31259117
2011-12-01,0.1694172,0.36016604,0.15643987,0.05963097,0.25434586
2011-12-05,0.122549824,0.31079295,0.15825924,0.05382654,0.35457143
2011-12-08,0.20788594,0.28116083,0.15742743,0.07699299,0.2765328
2011-12-12,0.19380452,0.24436334,0.2146718,0.07268746,0.27447286
2011-12-15,0.1765578,0.16178054,0.18193343,0.0632955,0.4164327
2011-12-19,0.17915724,0.14836387,0.23584391,0.05478723,0.38184774
2011-12-22,0.22402783,0.14792575,0.1304281,0.0655432,0.43207508
2011-12-26,0.18985003,0.20937654,0.17657971,0.10058783,0.32360587
2011-12-29,0.15885657,0.16327485,0.22908778,0.1459096,0.3028712
2012-01-02,0.10125198,0.10655473,0.19348924,0.097133465,0.5015706
2012-01-05,0.08657607,0.13236193,0.2629074,0.08378931,0.4343653
2012-01-09,0.13595945,0.1473051,0.24422443,0.057698764,0.41481227
2012-01-12,0.1355689,0.16657673,0.2431567,0.06423262,0.39046508
2012-01-16,0.11294933,0.23474045,0.28581226,0.055177275,0.3113207
2012-01-19,0.13778673,0.26573342,0.23964867,0.06007152,0.29675967
2012-01-23,0.09261751,0.303444,0.21635741,0.07222204,0.31535906
2012-01-26,0.11242606,0.1973316,0.24291863,0.06911828,0.37820545
2012-01-30,0.11586382,0.26020616,0.2564573,0.075019896,0.2924528
2012-02-02,0.14705256,0.31262016,0.22486469,0.057566706,0.2578959
2012-02-06,0.19859253,0.28259367,0.2025633,0.06539649,0.25085402
2012-02-09,0.17812948,0.3077738,0.21154426,0.07290539,0.22964711
2012-08-20,0.2783626,0.19668874,0.21540082,0.053532135,0.25601572
2012-08-23,0.26870188,0.18479124,0.22604677,0.055902943,0.26455715
2012-08-27,0.26324472,0.19822708,0.24438468,0.051462706,0.24268083
2012-08-30,0.23772216,0.17780383,0.33149222,0.050653737,0.20232806
2012-09-03,0.2694841,0.14723366,0.3044393,0.06654149,0.21230145
2012-09-06,0.31906763,0.16604365,0.25820506,0.06476087,0.19192278
2012-09-10,0.35669267,0.1334255,0.231741,0.045640573,0.2325002
2012-09-13,0.3384054,0.14394824,0.1299585,0.05296273,0.33472514
2012-09-17,0.26905724,0.20375822,0.11785973,0.07807681,0.33124802
2012-09-20,0.3153273,0.17882839,0.0948097,0.08005181,0.3309828
2012-09-24,0.21890518,0.2151714,0.12342875,0.08333919,0.35915545
2012-09-27,0.18693244,0.17985384,0.17011356,0.086438216,0.376662
2012-10-01,0.19951859,0.23879132,0.19319506,0.085933395,0.28256166
2012-10-04,0.2699602,0.22552967,0.09760755,0.056271642,0.3506309
2012-10-08,0.32943,0.22816318,0.07663075,0.040044207,0.32573184
2012-10-11,0.25207427,0.28166315,0.14206494,0.044544462,0.27965313
2012-10-15,0.29785916,0.27442843,0.2211688,0.050431117,0.15611249
2012-10-18,0.35370427,0.23912665,0.18714002,0.08451381,0.13551526
2012-10-22,0.3241938,0.16906485,0.23230731,0.1092065,0.16522755
2012-10-25,0.21054207,0.15894455,0.2716219,0.094887875,0.2640036
2012-10-29,0.19882643,0.24400455,0.2731059,0.040763147,0.24329995
2012-11-01,0.16787145,0.16331346,0.41727716,0.04998775,0.20155023
2012-11-05,0.19218539,0.22779073,0.37212327,0.040292647,0.167608
2012-11-08,0.17916024,0.23400068,0.33237627,0.068974726,0.18548813
2012-11-12,0.21206091,0.28971004,0.25635955,0.0679592,0.17391033
2012-11-15,0.16415277,0.28830823,0.26628235,0.09595529,0.18530132
2012-11-19,0.22691263,0.24930036,0.2890375,0.064658746,0.17009078
2012-11-22,0.18741143,0.17617698,0.333805,0.06608682,0.2365198
2012-11-26,0.18279277,0.16732723,0.45652297,0.06489054,0.12846653
2012-11-29,0.18573026,0.1781024,0.3892031,0.06789599,0.17906824
2012-12-03,0.13485585,0.18612075,0.40662733,0.06802792,0.20436819
2012-12-06,0.14643857,0.2501077,0.30371365,0.052083492,0.2476566
2012-12-10,0.10215851,0.4136255,0.24287695,0.040598,0.20074105
2012-12-13,0.07539331,0.24791692,0.41248497,0.050793935,0.21341088
2012-12-17,0.11191495,0.27483886,0.30007413,0.06640792,0.24676415
2012-12-20,0.15862876,0.14679964,0.42973173,0.070147075,0.19469284
2012-12-24,0.2046781,0.14909163,0.30980536,0.07164015,0.26478475
2012-12-27,0.14157394,0.1863355,0.2957761,0.083600976,0.29271343
2012-12-31,0.11561056,0.18063897,0.357806,0.0605122,0.28543225
2013-01-03,0.123631775,0.16852273,0.32131547,0.04832931,0.3382007
2013-01-07,0.110542454,0.1907539,0.23227988,0.094862595,0.37156117
2013-01-10,0.12128899,0.22198799,0.13439107,0.11793883,0.40439314
2013-01-14,0.12098931,0.337478,0.10358686,0.0857004,0.35224542
2013-01-17,0.13689277,0.3578517,0.14392532,0.10679089,0.25453928
2013-01-21,0.19943024,0.2897176,0.13286051,0.10133553,0.27665606
2013-01-24,0.17475282,0.31697947,0.1140395,0.1447026,0.24952559
2013-01-28,0.15160477,0.26305166,0.11081537,0.12746547,0.34706274
2013-01-31,0.16586106,0.18026964,0.22943889,0.099059455,0.32537097
2013-02-04,0.15724732,0.12798281,0.31257683,0.07096327,0.33122978
2013-02-07,0.13036446,0.16144168,0.34191677,0.06464618,0.30163088
2013-02-11,0.15427688,0.18272945,0.23888919,0.16556397,0.25854048
2013-08-22,0.2174444,0.11745878,0.28360936,0.0673488,0.31413865
2013-08-26,0.21937354,0.14216733,0.29954425,0.08503166,0.25388324
2013-08-29,0.13132656,0.2155367,0.36842093,0.054022387,0.23069344
2013-09-02,0.14115201,0.2787023,0.232646,0.074978635,0.27252105
2013-09-05,0.1327514,0.23821303,0.1916295,0.071060106,0.36634594
2013-09-09,0.1558195,0.17382963,0.16276221,0.0663992,0.4411894
2013-09-12,0.17549562,0.117165424,0.2559522,0.07679623,0.37459052
2013-09-16,0.20490697,0.119883075,0.3159439,0.05350158,0.30576447
2013-09-19,0.24013887,0.1121615,0.26953965,0.047466442,0.33069348
2013-09-23,0.2408814,0.09696335,0.35383388,0.050140444,0.25818092
2013-09-26,0.26592517,0.11206485,0.28727037,0.061973162,0.2727664
2013-09-30,0.24070601,0.120219626,0.23145439,0.09548267,0.3121373
