,0,1,2,3,4
2010-11-22,0.18941453,0.19940494,0.19603142,0.19501625,0.22013287
2010-11-25,0.1926756,0.20230186,0.20208086,0.19023558,0.21270612
2010-11-29,0.19318861,0.19900894,0.20745493,0.18485971,0.21548782
2010-12-02,0.1895454,0.19587791,0.20664476,0.1946502,0.21328172
2010-12-06,0.1944866,0.19921778,0.20581369,0.19296989,0.20751207
2010-12-09,0.18882702,0.20695578,0.19597702,0.20557459,0.2026656
2010-12-13,0.1860638,0.21225953,0.1943254,0.20351152,0.20383976
2010-12-16,0.1839812,0.20999907,0.20150864,0.19126019,0.21325088
2010-12-20,0.18560404,0.2166778,0.19425794,0.18556279,0.2178974
2010-12-23,0.187584,0.2187609,0.19178629,0.19468343,0.20718537
2010-12-27,0.17774741,0.22555318,0.19253555,0.20066546,0.20349835
2010-12-30,0.18027031,0.22119723,0.19925709,0.19206081,0.20721455
2011-01-03,0.1843947,0.21578057,0.19625764,0.1936123,0.20995475
2011-01-06,0.18309169,0.21433625,0.19582103,0.19603276,0.21071827
2011-01-10,0.18252781,0.21085474,0.19887413,0.19925207,0.20849124
2011-01-13,0.18498158,0.21073213,0.19579016,0.20053686,0.20795928
2011-01-17,0.18462464,0.2174177,0.19315666,0.20434514,0.20045589
2011-01-20,0.18445818,0.21495084,0.19243446,0.206966,0.20119056
2011-01-24,0.1863164,0.21490286,0.19591378,0.19679998,0.20606698
2011-01-27,0.18638784,0.22178645,0.19130655,0.19163617,0.20888293
2011-01-31,0.18401968,0.21556984,0.19121283,0.19109789,0.21809974
2011-02-03,0.18245259,0.21662106,0.19216199,0.19418143,0.21458296
2011-08-15,0.19760242,0.19749118,0.20199296,0.19276854,0.21014495
2011-08-18,0.1967477,0.2047122,0.20054422,0.18763869,0.21035717
2011-08-22,0.19420797,0.2010942,0.21118458,0.18497398,0.20853928
2011-08-25,0.19329597,0.19759333,0.21074708,0.19292398,0.20543961
2011-08-29,0.19246314,0.19762753,0.21157597,0.19288793,0.20544544
2011-09-01,0.19560519,0.19336897,0.21730359,0.19076239,0.20295985
2011-09-05,0.19502592,0.19272844,0.22038448,0.19192758,0.19993362
2011-09-08,0.19337372,0.19317564,0.21778905,0.1930892,0.20257239
2011-09-12,0.1972703,0.19230393,0.21276759,0.19401889,0.2036393
2011-09-15,0.19820303,0.18758008,0.20612733,0.196159,0.21193059
2011-09-19,0.19889216,0.19415373,0.19117935,0.19668725,0.21908748
2011-09-22,0.192082,0.20147388,0.19269915,0.1902465,0.22349854
2011-09-26,0.19776933,0.20157127,0.19733293,0.18387696,0.21944945
2011-09-29,0.19439967,0.19689725,0.19545576,0.19003874,0.2232086
2011-10-03,0.1935214,0.20329815,0.18593301,0.19426502,0.22298245
2011-10-06,0.19386517,0.19618541,0.18801098,0.20266496,0.21927351
2011-10-10,0.1993608,0.19979094,0.18696809,0.1930911,0.22078905
2011-10-13,0.19533412,0.19889727,0.18832895,0.18977498,0.2276647
2011-10-17,0.19845384,0.20210828,0.18798241,0.18967858,0.22177689
2011-10-20,0.20000486,0.20041472,0.18716061,0.19073798,0.22168185
2011-10-24,0.19511202,0.19458696,0.18562958,0.19906026,0.22561115
2011-10-27,0.19579543,0.19619583,0.19855809,0.19022289,0.21922776
2011-10-31,0.19694807,0.19795172,0.20065428,0.18739828,0.21704768
2011-11-03,0.19773768,0.20011227,0.19741943,0.1883892,0.21634136
2011-11-07,0.1930453,0.20272756,0.20371087,0.1868575,0.21365872
2011-11-10,0.19475545,0.20059249,0.20460717,0.18522723,0.21481772
2011-11-14,0.19875233,0.20129947,0.2033405,0.18348582,0.21312186
2011-11-17,0.19988787,0.2070055,0.19410504,0.18568274,0.21331888
2011-11-21,0.20218785,0.20717528,0.19673604,0.17917633,0.21472451
2011-11-24,0.19802253,0.19821675,0.2025224,0.18881644,0.21242188
2011-11-28,0.19540164,0.19364554,0.20887606,0.19225536,0.20982145
2011-12-01,0.1971164,0.19308698,0.20866205,0.18800959,0.213125
2011-12-05,0.20299616,0.19148278,0.20556208,0.19093211,0.20902687
2011-12-08,0.19837995,0.19112466,0.20535123,0.18848547,0.21665868
2011-12-12,0.19647278,0.19293797,0.19441478,0.18763195,0.2285425
2011-12-15,0.19723307,0.19678779,0.19531675,0.18739477,0.22326766
2011-12-19,0.19587587,0.19748203,0.19876438,0.18298449,0.2248932
2011-12-22,0.19583753,0.19331804,0.20755969,0.18193257,0.22135213
2011-12-26,0.19623776,0.19682905,0.20150667,0.18781337,0.21761312
2011-12-29,0.19127421,0.20373636,0.19737454,0.18627389,0.22134098
2012-01-02,0.19104436,0.20628332,0.19769867,0.1896342,0.2153394
2012-01-05,0.18841478,0.20035647,0.20057939,0.19777653,0.21287285
2012-01-09,0.19170377,0.20024969,0.19573319,0.19162625,0.22068715
2012-01-12,0.19157903,0.19755208,0.19803528,0.19469787,0.21813571
2012-01-16,0.19519874,0.20022254,0.1983486,0.18700384,0.21922629
2012-01-19,0.19448397,0.19908267,0.1961814,0.19155474,0.21869725
2012-01-23,0.19161224,0.20214643,0.2007735,0.19090845,0.21455942
2012-01-26,0.19089422,0.20753495,0.20240031,0.18286052,0.21631001
2012-01-30,0.19284232,0.20761178,0.20485583,0.18197525,0.21271482
2012-02-02,0.1892728,0.20560612,0.19848104,0.18941477,0.21722524
2012-08-13,0.21611297,0.19270378,0.19584295,0.18985946,0.2054809
2012-08-16,0.22158232,0.19043833,0.19861463,0.18706419,0.20230047
2012-08-20,0.21729161,0.19032581,0.2044363,0.18974307,0.19820324
2012-08-23,0.21009089,0.19740358,0.20327859,0.18664545,0.20258154
2012-08-27,0.21426168,0.19431145,0.19548675,0.19651057,0.19942954
2012-08-30,0.21079937,0.19328615,0.19829117,0.19570848,0.2019148
2012-09-03,0.21229444,0.1927836,0.2000024,0.19670023,0.19821937
2012-09-06,0.21223237,0.19299032,0.20076807,0.18941498,0.20459431
2012-09-10,0.20914538,0.19155815,0.19952492,0.19766259,0.202109
2012-09-13,0.20894724,0.19673389,0.19773623,0.19573626,0.2008464
2012-09-17,0.21157,0.20062846,0.19790202,0.18850182,0.20139775
2012-09-20,0.21339364,0.19859427,0.19228436,0.19292916,0.20279862
2012-09-24,0.21682957,0.19877246,0.18685755,0.19530748,0.20223299
2012-09-27,0.21127489,0.20057578,0.19307408,0.1920033,0.20307192
2012-10-01,0.20653248,0.19365382,0.19891578,0.19821441,0.20268354
2012-10-04,0.20467883,0.19831961,0.20143121,0.1931999,0.20237045
2012-10-08,0.20977129,0.2029326,0.19586395,0.19245888,0.19897334
2012-10-11,0.20375328,0.21291,0.18276663,0.19526716,0.20530295
2012-10-15,0.2034288,0.2094882,0.18942922,0.19401476,0.20363903
2012-10-18,0.20389394,0.2025498,0.19255567,0.19440116,0.20659943
2012-10-22,0.20573589,0.20369288,0.19506009,0.18996987,0.20554128
2012-10-25,0.21004075,0.20615208,0.19706325,0.18884642,0.19789755
2012-10-29,0.21058187,0.20835124,0.20099804,0.18721958,0.19284923
2012-11-01,0.2051413,0.20961842,0.20242389,0.18884127,0.1939751
2012-11-05,0.20871995,0.20457058,0.2048135,0.18605797,0.19583796
2012-11-08,0.21247923,0.2007381,0.20653689,0.1852432,0.19500256
2012-11-12,0.20875365,0.20019478,0.20429684,0.19090693,0.19584781
2012-11-15,0.20691806,0.20141228,0.20916897,0.19324012,0.18926053
2012-11-19,0.20414482,0.19676225,0.22088656,0.18540043,0.19280593
2012-11-22,0.20022966,0.19375943,0.21488367,0.19503036,0.19609694
2012-11-26,0.19614705,0.199594,0.21816787,0.1873736,0.19871749
2012-11-29,0.19988264,0.19753632,0.2067471,0.18999968,0.20583428
2012-12-03,0.20100132,0.20268308,0.21040949,0.18085489,0.20505126
2012-12-06,0.21359794,0.20283689,0.19955991,0.1811458,0.20285943
2012-12-10,0.20702761,0.20292881,0.2057609,0.19205667,0.19222598
2012-12-13,0.19964021,0.2024246,0.20391661,0.19571924,0.1982993
2012-12-17,0.20138752,0.20122817,0.19851068,0.19830953,0.20056407
2012-12-20,0.20135644,0.20135036,0.20436388,0.18749808,0.20543125
2012-12-24,0.20249285,0.20405348,0.19986504,0.18763234,0.2059563
2012-12-27,0.19662952,0.20875752,0.20353672,0.19013095,0.20094527
2012-12-31,0.19410427,0.21881115,0.20888627,0.17642678,0.2017715
2013-01-03,0.1910576,0.21124467,0.2060811,0.19126664,0.20035
2013-01-07,0.19550477,0.20868796,0.19887683,0.19276278,0.20416772
2013-01-10,0.19579002,0.20678887,0.20421411,0.19017655,0.20303047
2013-01-14,0.20106643,0.22096744,0.19972564,0.18207179,0.19616872
2013-01-17,0.19822966,0.21857913,0.19980751,0.1838336,0.19955006
2013-01-21,0.19587182,0.21042025,0.19696213,0.1920086,0.2047372
2013-01-24,0.19485691,0.21571682,0.19729519,0.18336602,0.208765
2013-01-28,0.1967867,0.21094367,0.21239479,0.17953745,0.20033741
2013-01-31,0.19644433,0.20964777,0.21157987,0.18664822,0.19567978
2013-02-04,0.19739114,0.20973164,0.2045545,0.18419608,0.20412664
2013-08-15,0.19649069,0.20248276,0.2012653,0.1994619,0.20029938
2013-08-19,0.19272323,0.20819992,0.20137422,0.1960469,0.20165573
2013-08-22,0.19134836,0.20509295,0.20323035,0.19163422,0.20869412
2013-08-26,0.19409281,0.19932236,0.19900425,0.19279742,0.21478318
2013-08-29,0.1995795,0.20239377,0.20107052,0.18672973,0.2102265
2013-09-02,0.19488457,0.20323177,0.20079553,0.1950599,0.20602828
2013-09-05,0.19239412,0.19836716,0.20195833,0.20411241,0.203168
2013-09-09,0.19458707,0.19157027,0.20803797,0.19566044,0.21014427
2013-09-12,0.19395332,0.19407082,0.21337464,0.18749414,0.21110712
2013-09-16,0.19112201,0.20251673,0.2179385,0.18753399,0.20088875
