,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1981-01-05,-0.3405442644956754,0.12061962286487796,-0.8403805741270954,-0.15929905101715294,1.6697513054925663,-1.0253338537497192,-0.30885955760895484,0.5983662802735007,-1.050756362674559,0.5753242124458143,-0.06784935796077249,-2.0402606136288193,-0.4176619937628724,0.10839028343805746,-0.6139577384436159,1.1741439924856882,0.43140816901919404,1.356085328523999,-0.28459123733530906,0.11064191084519562
1981-01-08,-0.2705387492578485,0.1521420151480712,-0.9229046579190664,-0.2948385441614419,1.5297122662862768,-0.8167180768725196,-0.05432082706181163,0.7071636747380353,-1.3417982009351568,0.6853768599575181,0.05009536561384144,-1.990030870136544,-0.14132528996009497,-0.0545858810661654,-0.2726934951666665,0.8945970846746376,0.4510255111390941,1.459841483753926,-0.36385204200999066,0.07606987914099084
1981-01-12,-0.1759192403747518,0.2869134696546921,-1.0621290359082562,-0.45457040945120913,1.5184725488187507,-0.6269241868993152,0.0910221346331085,0.7903484886130192,-1.4850423820173142,0.8873641552809798,0.10236129821010936,-1.7296606794317553,0.22816194377710522,-0.38023339725137584,-0.06491138452018518,0.793268356873757,0.8366980423920928,1.3681133470412017,-0.6049588581279155,-0.21403444418902812
1981-01-15,-0.1683276814020561,0.3784235390079931,-1.1446439296317554,-0.5345183250327407,1.617623683497781,-0.5454502318947358,0.10785122626358745,0.7647008371451401,-1.2820575127747487,1.0058754051816308,0.029591811564878695,-1.3984411106785573,0.31396703925709585,-0.47266181770594257,-0.15115395797861114,0.9082323582873985,0.936262666286587,1.4208712574781746,-0.5048932094887467,-0.22955872887686704
1981-01-19,-0.22708045603956734,0.356415845157029,-1.4419544286830468,-0.5048329550504072,1.6147231100406754,-0.23539952218555338,0.1059542168849114,0.3623167587140348,-1.1017294881990738,0.8759435563726045,-0.23751062899624154,-1.155572874450104,0.22587713524393468,-0.7768067911491799,-0.21947525689188768,1.1655488167767716,0.9145555480220643,1.3562374932730588,-0.29834102114050626,-0.061862963495085896
1981-01-22,-0.27447830387475347,0.23948554265879282,-1.5152874774216853,-0.3578702171247491,1.459055473471182,-0.01679470380204713,0.2914589733481397,0.015142649682255566,-1.0237643040061202,0.47635304158444836,-0.16106334069942024,-1.0802787484627696,0.36741616080632344,-0.9235238149361757,-0.32491091996937266,1.2198112816546605,0.8105241150021686,1.0977460383972875,-0.32711948931657403,0.13159111676561602
1981-01-26,-0.3833263710499212,-0.006826122748523131,-1.292285572180988,-0.22507363499296573,1.3441025561485818,0.001800346726766421,0.5077062137933023,0.018925817455110933,-0.832256099626192,0.16979833294718347,0.22866743330088138,-0.9142303756291191,0.4715658600418611,-0.6082076502635568,-0.5849500470989077,1.0800411736279434,0.610417326664528,0.7673374055008009,-0.34464905951547703,0.43620509037181204
1981-01-29,-0.43944347822215957,-0.17730051100623875,-1.0728169793635018,-0.15174165364984302,1.4089539325078215,-0.23964918572740918,0.6432444635865526,0.16897136283315237,-0.7601297258121613,0.38994508440024583,0.43176857408823266,-0.871663950413509,0.5064602261712794,-0.3029928885917643,-0.7253712958051087,0.8804625113451574,0.6382609828421387,0.5649451195412494,-0.38168085007954783,0.6242111732910027
1981-02-02,-0.4321473141603325,-0.17782185875668774,-1.0612071642053758,-0.1441444291414881,1.6786896198860686,-0.5524153190333696,0.7403433119860666,0.27840009937926324,-0.8991828431946993,0.7374599535083657,0.6785235290091476,-0.6562774030487084,0.668336991062492,-0.34034168085835226,-0.7558917053187588,0.9179214385180278,0.5941494467548226,0.6412926902174947,-0.49115139226520316,0.8003370524913185
1981-02-05,-0.44255902937438507,-0.1471089569039997,-0.9871128190360373,-0.17959249463497393,1.8831826924837607,-0.5797586283910965,0.6842254231709928,0.5255045452094184,-0.8342428330977928,0.8527316460258861,0.937458717746166,-0.34622110916870824,0.7186443418947512,-0.5178427335070896,-0.6792602343913993,1.0067971641378717,0.36580672541502285,1.0521562640774376,-0.4478969990386162,0.8981834599989466
