,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1981-01-05,0.34976328923740896,-0.16944009927260661,-0.5816092240485361,0.5784092787550547,0.19406050003708047,2.6893928111176186,0.3047971310983216,-1.1489329978122196,0.3287452107228125,0.38745221960974946,-0.21618786168953213,-0.21693948131455804,-1.0805009779841712,0.5817277865129508,-0.13588853149862679,-1.0477291202551289,-1.5698900925568855,0.30722430818956187,-0.04256913966009547,0.6176393743947489
1981-01-08,0.3415738361835186,-0.21483548851929213,-0.6037533371171541,0.46676603030744557,0.1689382471745115,2.803360925201311,0.20645073731751656,-1.1880774152191835,0.4464730964129318,0.32190716079582843,-0.32579067071138185,-0.17415932553560462,-1.168250464045908,0.6626358710295441,-0.09063301921141304,-1.1424470163614748,-1.3971743423479617,0.25156841651641115,0.0823424402925634,0.7110463213228095
1981-01-12,0.34048137186226346,-0.2507425933106199,-0.6179868227149945,0.3701059785696943,0.2013706986774535,2.884801870561758,0.11785380675381357,-1.2358515893757371,0.5293107901884562,0.29041593372433516,-0.38184324650382334,0.0016469832003512806,-1.1427131066339928,0.7329467874523974,-0.09838365651059836,-1.2486274160360016,-1.2104178670764567,0.21347982144546745,0.21545652997179424,0.7686130249895201
1981-01-15,0.3366213357743583,-0.25445422003514206,-0.6021464936825182,0.4105105157931265,0.28127616971701697,2.8992382036554787,0.08608654040829493,-1.2789482330788355,0.5953639336782125,0.31694127586782017,-0.3022861332631354,0.08600743252057556,-1.0559030497221016,0.8508496375833365,-0.140395224471373,-1.2847169541106092,-1.1433132669294985,0.19156429889458487,0.232463838638669,0.7703483695195801
1981-01-19,0.3290550328643156,-0.2477156703765228,-0.5673117158913421,0.5791604098812024,0.44244141314210006,2.9052604679139646,0.08721187708231493,-1.3545589696213614,0.6885822270364462,0.39285129255649626,-0.1485382354959416,0.04013695907721322,-0.9562910643773368,1.0811853445433073,-0.23411703160026534,-1.2679499613809608,-1.0852535761708584,0.14279602692055568,0.17677131689656825,0.7417196378088604
1981-01-22,0.32719651529903404,-0.2599944710352639,-0.561866770685041,0.6873398155335507,0.5556316067594251,2.923246353522365,0.1088343964797048,-1.3995208531703778,0.7089158197641141,0.4626477546904061,-0.0946422448133782,-0.017098294457118454,-0.9041041082160999,1.2233272366218582,-0.3434048459391158,-1.2448121329653974,-1.0214267668753814,0.11020478792953427,0.17138206778137466,0.6775545268879981
1981-01-26,0.32196407643965874,-0.3123132164397977,-0.6029802145767388,0.7466304469705276,0.5719091144252593,2.944873321537424,0.14423874020084393,-1.396234146547192,0.6826646363051521,0.5477918175763419,-0.11158270842915341,-0.08736846825557498,-0.858388541455143,1.3855220847827623,-0.5056396637946254,-1.225072118818707,-0.9307633286873723,0.14970136770314363,0.28267214648098643,0.491580488015796
1981-01-29,0.3191693498306231,-0.3533544477487464,-0.6426028982387229,0.6995198575165701,0.509941180456232,2.9339138520928154,0.19131565449052063,-1.394201012928469,0.6667687727806135,0.6667273118576637,-0.15796392041264126,-0.12091606297319282,-0.7808767106749921,1.432016928276912,-0.5845845763275038,-1.1883971345053934,-0.8984903961542071,0.246704237816488,0.4025106391601985,0.33945329421627374
1981-02-02,0.3281791765423624,-0.3525092723725454,-0.6498049100563806,0.5504455373980298,0.4878406077665451,2.9067865714715184,0.3085267815875087,-1.482914242899404,0.6640703474876032,0.9228615719278085,-0.21354329105188968,-0.14060376252092155,-0.5978844868413276,1.3519104256730592,-0.639385603938517,-1.097240316441935,-0.871533239349207,0.3873397006904766,0.4902142212052859,0.2453559724012676
1981-02-05,0.3429300081464736,-0.29728206303867466,-0.6143928241180057,0.43210754053529116,0.5455005670399349,2.9276694459965262,0.4046250667697997,-1.598355554078175,0.6343923771145609,1.0972741087279736,-0.2331247929205425,-0.1586466813176074,-0.4603768426041083,1.2634102236009794,-0.6984303247607738,-1.057031781781085,-0.8149017252147039,0.4840991751325882,0.47627800867144665,0.25763859165964276
1981-02-09,0.34527990334519915,-0.2303287764526962,-0.5673764993372021,0.32064617195321,0.6334980262085618,2.9468523318290956,0.4901728033833108,-1.6703215622267173,0.5795308792800551,1.2609465359680798,-0.22771685440889716,-0.23376804593504252,-0.3747219688823375,1.175131470524088,-0.6860144133880366,-1.046697609397233,-0.7890471274216067,0.6252950647621297,0.40785291948839764,0.30392010016104715
1981-02-12,0.33459830734264645,-0.23116173972091184,-0.5744240664624197,0.31002432841636984,0.655636113598253,2.870270768132133,0.5270253575760367,-1.6214047738528625,0.5898865306008173,1.3722002677541907,-0.19937362839579795,-0.33369125425354845,-0.39572916752203563,1.138720159369485,-0.5995506320107268,-1.006980574516085,-0.844932206127124,0.7030543534320539,0.36388255513952283,0.3157271370122692
1981-02-16,0.3312797454341691,-0.2893639761126923,-0.6344912549660829,0.4331144851359614,0.6763862603053715,2.659811242792285,0.5972143186283277,-1.5245821569250473,0.6803699158500847,1.5288222326498415,-0.17697225401368843,-0.4937718139588923,-0.4910637446665866,1.1340376307886784,-0.5762432989065044,-0.9112741235643318,-0.917342347337983,0.6976012460584631,0.29378059415010377,0.32906397837833773
1981-02-19,0.32882709094536317,-0.35408527041863846,-0.6821568609278682,0.5897557384079608,0.7313345858229329,2.530481723778389,0.6803522783277994,-1.5269782303657675,0.7127181371021482,1.5789505341349472,-0.22629970882739622,-0.5939280244567039,-0.568135176300523,1.1656124241704846,-0.6371731343503344,-0.8697547737885112,-0.9868818411493758,0.6356871134853647,0.2732271941763586,0.3429368296694774
1981-02-23,0.31681061086050505,-0.4246471331343231,-0.7014652753667112,0.7950117084676876,0.8620282268071456,2.448859683549203,0.7804991897219558,-1.5809132296277397,0.7139817485631468,1.5573056831610343,-0.33218540618713066,-0.6885768137743821,-0.6260146523220051,1.3382907006276479,-0.7275845235289831,-0.8353962429988736,-1.1295457015087826,0.5432072222431895,0.3196620161012165,0.3513286116257968
1981-02-26,0.29796040369147647,-0.4318392129488139,-0.6785922888170699,0.943343654408041,0.9875996979978502,2.44277969884063,0.8506066911828397,-1.6180021427761233,0.7086116855943291,1.555404218127424,-0.3599370944068488,-0.7308938651029687,-0.6301399516181976,1.557173821032122,-0.7541498488147181,-0.7629043523502593,-1.2414631916298353,0.5166679580892626,0.3787961921847177,0.3484369048483492
1981-03-02,0.26984727523206414,-0.3859548261819708,-0.6239786980916687,1.1662866727219101,1.1006149185483276,2.4858087007669303,0.9305536638473985,-1.6467177380880174,0.7008733276527634,1.5298394222718463,-0.3563068281479981,-0.7243549880546513,-0.6204937874480029,1.7960390862641742,-0.7174787800009643,-0.6792028819398486,-1.289680785471181,0.5142497483135349,0.43945899376511516,0.29806439224266834
1981-03-05,0.25615789486513,-0.3376300594844915,-0.5832658540198989,1.3281129303901233,1.1089456194569893,2.5109677040060956,0.9561208432879764,-1.6491860106795775,0.6954836754108699,1.4758957240546275,-0.36124916502963733,-0.7198299302424648,-0.6315787293988051,1.9040006335300133,-0.7508964261286074,-0.6786909986671243,-1.221446096628953,0.4744890224547438,0.4355439372302362,0.2612577362176276
